Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
208,50750,Belfort,7.118,3616,2011,120,2,5,,Economic,Area Control / Area Influence,2,12,4,2: Possible
209,157969,Sheriff of Nottingham,7.116,2012,2014,60,3,5,,Card Game,Hand Management,4,10,5,1: Need crib
210,121408,Trains,7.114,3576,2012,45,2,4,,Card Game,Deck / Pool Building,4,10,3,2: Possible
211,18,RoboRally,7.111,16078,1994,120,2,8,,Science Fiction,Action / Movement Programming,5,10,5,3: Too much
212,15363,Nexus Ops,7.11,6523,2005,90,2,4,,Fighting,Area Control / Area Influence,0,8,4,3: Too much
213,128996,1775: Rebellion,7.11,1196,2013,120,2,4,,Wargame,Area Movement,0,10,4,2: Possible
214,9823,Advanced Squad Leader: Starter Kit #1,7.104,1669,2004,120,2,2,,Wargame,Dice Rolling,6,14,2,1: Need crib
215,65532,Defenders of the Realm,7.102,3545,2010,90,1,4,,Fantasy,Action Point Allowance System,19,10,4,3: Too much
216,144592,Bruxelles 1893,7.101,1698,2013,125,2,5,,,Auction/Bidding,0,14,4,1: Need crib
217,105551,Archipelago,7.099,3046,2012,240,2,5,,Economic,Area Control / Area Influence,2,12,4,3: Too much
218,39938,Carson City,7.098,4625,2009,90,2,5,,Economic,Area Control / Area Influence,3,12,4,1: Need crib
219,125618,Libertalia,7.096,4802,2012,45,2,6,,Card Game,Hand Management,0,10,4,3: Too much
220,22827,StarCraft: The Board Game,7.093,5307,2007,180,2,6,,Fighting,Area Control / Area Influence,3,14,4,4: Unplayable
221,160499,King of New York,7.093,2240,2014,40,2,6,,Dice,Card Drafting,12,6,4,3: Too much
222,2346,DVONN,7.091,3166,2001,30,2,2,,Abstract Strategy,Grid Movement,0,10,2,1: Need crib
223,34119,Tales of the Arabian Nights,7.089,5755,2009,120,1,6,,Fantasy,Dice Rolling,0,12,3,4: Unplayable
224,121288,Dixit: Journey,7.089,2272,2012,30,3,6,,Card Game,Simultaneous Action Selection,14,10,6,1: Need crib
225,82420,Summoner Wars: Guild Dwarves vs Cave Goblins,7.085,1617,2009,30,2,4,,Card Game,Dice Rolling,3,10,2,2: Possible
226,42776,Gears of War: The Board Game,7.084,2757,2011,180,1,4,,Fighting,Area Movement,1,12,2,3: Too much
227,97842,Last Will,7.084,4385,2011,60,2,5,,Card Game,Action Point Allowance System,3,12,4,1: Need crib
228,1353,Time's Up!,7.084,3191,1999,90,4,18,,Party Game,Memory,4,12,6,4: Unplayable
